PS C:\Users\wadej\OneDrive\Documents\streaming-02-multiple-processes> & C:/Users/wadej/AppData/Local/Programs/Python/Python311/python.exe c:/Users/wadej/OneDrive/Documents/streaming-02-multiple-processes/process_streaming_0.py
2023-09-03 07:42:22,590 - INFO - ===============================================
2023-09-03 07:42:22,591 - INFO - Starting fake streaming process.
2023-09-03 07:42:22,591 - INFO - Starting to stream data from batchfile_0_farenheit.csv to ('localhost', 9999).
2023-09-03 07:42:22,591 - INFO - Opened for reading: batchfile_0_farenheit.csv.
2023-09-03 07:42:22,592 - INFO - Skipped header row: ['ï»¿Year', 'Month', 'Day', 'Time', 'TempF']
2023-09-03 07:44:34,673 - INFO - Sent: b'[2023, 1, 2, 17:15, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:37,675 - INFO - Sent: b'[2023, 1, 2, 16:55, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:40,678 - INFO - Sent: b'[2023, 1, 2, 16:35, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:43,679 - INFO - Sent: b'[2023, 1, 2, 16:15, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:46,680 - INFO - Sent: b'[2023, 1, 2, 15:55, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:49,682 - INFO - Sent: b'[2023, 1, 2, 15:35, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:52,684 - INFO - Sent: b'[2023, 1, 2, 15:15, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:55,687 - INFO - Sent: b'[2023, 1, 2, 14:55, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:44:58,688 - INFO - Sent: b'[2023, 1, 2, 14:35, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:01,691 - INFO - Sent: b'[2023, 1, 2, 14:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:04,693 - INFO - Sent: b'[2023, 1, 2, 13:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:07,695 - INFO - Sent: b'[2023, 1, 2, 13:35, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:10,697 - INFO - Sent: b'[2023, 1, 2, 13:15, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:13,698 - INFO - Sent: b'[2023, 1, 2, 12:55, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:16,699 - INFO - Sent: b'[2023, 1, 2, 12:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:19,700 - INFO - Sent: b'[2023, 1, 2, 12:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:22,703 - INFO - Sent: b'[2023, 1, 2, 11:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:25,705 - INFO - Sent: b'[2023, 1, 2, 11:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:28,706 - INFO - Sent: b'[2023, 1, 2, 11:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:31,708 - INFO - Sent: b'[2023, 1, 2, 10:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:34,710 - INFO - Sent: b'[2023, 1, 2, 10:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:37,712 - INFO - Sent: b'[2023, 1, 2, 10:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:40,714 - INFO - Sent: b'[2023, 1, 2, 9:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:43,716 - INFO - Sent: b'[2023, 1, 2, 9:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:46,718 - INFO - Sent: b'[2023, 1, 2, 9:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:49,719 - INFO - Sent: b'[2023, 1, 2, 8:55, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:52,720 - INFO - Sent: b'[2023, 1, 2, 8:35, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:55,722 - INFO - Sent: b'[2023, 1, 2, 8:15, 18]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:45:58,724 - INFO - Sent: b'[2023, 1, 2, 7:55, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:01,727 - INFO - Sent: b'[2023, 1, 2, 7:35, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:04,729 - INFO - Sent: b'[2023, 1, 2, 7:15, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:07,731 - INFO - Sent: b'[2023, 1, 2, 6:55, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:10,733 - INFO - Sent: b'[2023, 1, 2, 6:35, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:13,734 - INFO - Sent: b'[2023, 1, 2, 6:15, 19]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:16,737 - INFO - Sent: b'[2023, 1, 2, 5:55, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:19,739 - INFO - Sent: b'[2023, 1, 2, 5:35, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:22,740 - INFO - Sent: b'[2023, 1, 2, 5:15, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:25,742 - INFO - Sent: b'[2023, 1, 2, 4:55, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:28,743 - INFO - Sent: b'[2023, 1, 2, 4:35, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:31,745 - INFO - Sent: b'[2023, 1, 2, 4:15, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:34,748 - INFO - Sent: b'[2023, 1, 2, 3:55, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:37,749 - INFO - Sent: b'[2023, 1, 2, 3:35, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:40,750 - INFO - Sent: b'[2023, 1, 2, 3:15, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:43,752 - INFO - Sent: b'[2023, 1, 2, 2:55, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:46,753 - INFO - Sent: b'[2023, 1, 2, 2:35, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:49,755 - INFO - Sent: b'[2023, 1, 2, 2:15, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:52,757 - INFO - Sent: b'[2023, 1, 2, 1:55, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:55,758 - INFO - Sent: b'[2023, 1, 2, 1:35, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:46:58,759 - INFO - Sent: b'[2023, 1, 2, 1:15, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:01,760 - INFO - Sent: b'[2023, 1, 2, 0:55, 21]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:04,762 - INFO - Sent: b'[2023, 1, 2, 0:35, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:07,764 - INFO - Sent: b'[2023, 1, 2, 0:15, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:10,765 - INFO - Sent: b'[2023, 1, 1, 23:55, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:13,768 - INFO - Sent: b'[2023, 1, 1, 23:35, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:16,769 - INFO - Sent: b'[2023, 1, 1, 23:15, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:19,771 - INFO - Sent: b'[2023, 1, 1, 22:55, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:22,774 - INFO - Sent: b'[2023, 1, 1, 22:35, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:25,775 - INFO - Sent: b'[2023, 1, 1, 22:15, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:28,777 - INFO - Sent: b'[2023, 1, 1, 21:55, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:31,778 - INFO - Sent: b'[2023, 1, 1, 21:35, 23]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:34,780 - INFO - Sent: b'[2023, 1, 1, 21:15, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:37,781 - INFO - Sent: b'[2023, 1, 1, 20:55, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:40,783 - INFO - Sent: b'[2023, 1, 1, 20:35, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:43,786 - INFO - Sent: b'[2023, 1, 1, 20:15, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:46,787 - INFO - Sent: b'[2023, 1, 1, 19:55, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:49,788 - INFO - Sent: b'[2023, 1, 1, 19:35, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:52,790 - INFO - Sent: b'[2023, 1, 1, 19:15, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:55,792 - INFO - Sent: b'[2023, 1, 1, 18:55, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:47:58,794 - INFO - Sent: b'[2023, 1, 1, 18:35, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:01,796 - INFO - Sent: b'[2023, 1, 1, 18:15, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:04,797 - INFO - Sent: b'[2023, 1, 1, 17:55, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:07,799 - INFO - Sent: b'[2023, 1, 1, 17:35, 25]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:10,800 - INFO - Sent: b'[2023, 1, 1, 17:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:13,801 - INFO - Sent: b'[2023, 1, 1, 16:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:16,802 - INFO - Sent: b'[2023, 1, 1, 16:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:19,803 - INFO - Sent: b'[2023, 1, 1, 16:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:22,805 - INFO - Sent: b'[2023, 1, 1, 15:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:25,806 - INFO - Sent: b'[2023, 1, 1, 15:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:28,808 - INFO - Sent: b'[2023, 1, 1, 15:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:31,809 - INFO - Sent: b'[2023, 1, 1, 14:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:34,811 - INFO - Sent: b'[2023, 1, 1, 14:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:37,812 - INFO - Sent: b'[2023, 1, 1, 14:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:40,813 - INFO - Sent: b'[2023, 1, 1, 13:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:43,815 - INFO - Sent: b'[2023, 1, 1, 13:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:46,816 - INFO - Sent: b'[2023, 1, 1, 13:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:49,817 - INFO - Sent: b'[2023, 1, 1, 12:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:52,820 - INFO - Sent: b'[2023, 1, 1, 12:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:55,821 - INFO - Sent: b'[2023, 1, 1, 12:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:48:58,822 - INFO - Sent: b'[2023, 1, 1, 11:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:01,823 - INFO - Sent: b'[2023, 1, 1, 11:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:04,824 - INFO - Sent: b'[2023, 1, 1, 11:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:07,826 - INFO - Sent: b'[2023, 1, 1, 10:55, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:10,827 - INFO - Sent: b'[2023, 1, 1, 10:35, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:13,829 - INFO - Sent: b'[2023, 1, 1, 10:15, 27]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:16,830 - INFO - Sent: b'[2023, 1, 1, 9:55, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:19,832 - INFO - Sent: b'[2023, 1, 1, 9:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:22,833 - INFO - Sent: b'[2023, 1, 1, 9:15, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:25,834 - INFO - Sent: b'[2023, 1, 1, 8:55, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:28,836 - INFO - Sent: b'[2023, 1, 1, 8:35, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:31,837 - INFO - Sent: b'[2023, 1, 1, 8:15, 28]' on port 9999. Hit CTRL-c to stop.
2023-09-03 07:49:34,838 - INFO - Sent: b'[2023, 1, 1, 7:55, 28]' on port 9999. Hit CTRL-c to stop.
